i,RECONSTRUCTION_RUNTIME (in min),CUBE_RUNTIME (in min),CUBE_RUNTIME (in MM:SS),MATRIX_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),MATRIX_ITER,MATRIX_FEVAL,MATRIX_IND,FIBRES_RUNTIME (in min),FIBRES_RUNTIME (in MM:SS),FIBRE_ZNCC,RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
1,.11970380147298176666,13.75621179342269833333,.00955292485654354050,0.4400215650253493,-63.578044416,-23.051916288,180.25250144,1442.831239168,1049.00775434267715584,173,1384,8,17.62589375972747833333,.01224020399981074884,0.8256713554636504,7.7124107828430954,49.263178163106126,4.05916356991741863157,25.92798850689796105263,108,648,6,5.139680998742854,10.492169782294775,-11.878231449267421,200.25221547058098
2,.11912146409352620000,27.75221475362777666666,.01927237135668595601,0.439914335513407,-63.498508288,-22.329125888,180.25229477,1441.791529984,1049.35016367641734144,338,2704,8,12.59755104382832833333,.00874829933599189467,0.8259834854515274,7.710390940857884,49.47422244527873,4.05810049518836000000,26.03906444488354210526,76,456,6,5.126037114344692,10.49115890678045,-11.805332473517128,200.36882518249456
3,.12036338647206625000,8.05017431974411000000,.00559039883315563194,0.4400605710540996,-63.076527104,-22.6039808,179.75240373,1442.304331776,1049.10195465811169280,99,792,8,10.88788979053497333333,.00756103457676039814,0.8261731311071543,7.693612915842588,49.53498178865317,4.04926995570662526315,26.07104304665956315789,66,396,6,5.120234541551577,10.47207063277143,-11.781507344187402,200.21625050322305
4,.12039744059244791666,9.30290575424830166666,.00646035121822798726,0.4400031738753061,-63.430373376,-23.107871744,179.75225962,1442.404958208,1049.01091598808317952,115,920,8,9.98412563403447500000,.00693342057919060763,0.826075614871583,7.692182066240437,49.49530939549791,4.04851687696865105263,26.05016283973574210526,61,366,6,5.122024355299352,10.47006571358812,-11.819958314906307,200.1906954485487
5,.12013502915700276666,7.69929398695627833333,.00534673193538630439,0.4399709742115755,-63.454751744,-22.589213696,180.25237007,1442.144422912,1050.17141470937972736,95,760,8,14.23720941543579166666,.00988695098294152199,0.8260470098326678,7.693729696750615,49.5161740380291,4.04933141934242894736,26.06114423054163157894,87,522,6,5.1261988073028295,10.471613727723547,-11.79058915940791,200.18860502662127
6,.12041960159937540000,5.42664521535237666666,.00376850362177248379,0.35184272055248633,-59.800798208,-25.09707264,180.49924795,1235.640267776,1235.64018128118125568,67,536,8,10.78974266052246166666,.00749287684758504282,0.3907361409096376,93.6865965890669,101.81402432027903,49.30873504687731578947,53.58632858962054210526,67,402,6,37.560535615389405,41.4976478450221,-84.36075716984418,189.4399872155279
7,.11937906742095946666,4.16692512432734166666,.00289369800300509837,0.44010085392298587,-63.188204544,-22.484598784,179.7523457,1442.857446400,1049.09442056163353600,51,408,8,12.09385460217793833333,.00839851014040134606,0.8261472493679956,7.691807357919777,49.50999613077418,4.04831966206304052631,26.05789270040746315789,74,444,6,5.123271554151217,10.469584483292387,-11.746629902954442,200.2009554298638
8,.11931700309117635000,5.76096817652384433333,.00400067234480822523,0.43989891320915836,-63.786924032,-22.654780416,179.75242032,1442.193101824,1048.583991701786624,71,568,8,25.40027113358179666666,.01763907717609846990,0.8135119357747248,8.456900643542088,40.67211044901515,4.45100033870636210526,21.40637392053428947368,158,948,6,5.683217503392187,11.276744985258356,-12.98090056394766,202.67846521798216
9,.11951909859975178333,5.50864367087682083333,.00382544699366445891,0.44006588320443524,-62.969052160,-22.353854464,179.75225538,1442.418830336,1048.72789077337622528,68,544,8,9.65754778385162333333,.00670663040545251620,0.8262290827566621,7.6886049592654375,49.55604520917313,4.04663418908707236842,26.08212905745954210526,59,354,6,5.116662543886334,10.466495446338662,-11.741069636643237,200.2180901724732
10,.11971439520517985000,6.02009224891662600000,.00418061961730321250,0.3518528128735552,-59.199491072,-24.936190976,180.49932381,1235.360257024,1235.36024467039742976,74,592,8,10.49692773421605500000,.00728953314876114930,0.390680544457473,93.67799457279158,104.96045316468097,49.30420766989030526315,55.24234377088472105263,64,384,6,37.576612000159535,41.53532712850396,-87.05798462665379,189.0434059715066
