i,RECONSTRUCTION_RUNTIME (in min),CUBE_RUNTIME (in min),CUBE_RUNTIME (in MM:SS),MATRIX_ZNCC,X (in um),Y (in um),ROT (in degree),W (in um),H (in um),MATRIX_ITER,MATRIX_FEVAL,MATRIX_IND,FIBRES_RUNTIME (in min),FIBRES_RUNTIME (in MM:SS),FIBRE_ZNCC,RADIUS_CORE (in um),RADIUS_FIBRE (in um),RADIUS_CORE (in pixels),RADIUS_FIBRE (in pixels),FIBRE_ITER,FIBRE_FEVAL,FIBRE_IND,AVG,STDDEV,MIN,MAX
1,.22067687511444091666,6.79663784901301066666,.00471988739514792407,0.39970667551246464,-63.429925888,-23.016214528,180.25148429,1433.415274496,921.9162279940120576,94,752,8,12.07085337638855000000,.00838253706693649305,0.7997549407126073,7.420242827344421,44.55149217995763,3.90539096176022157894,23.44815377892506842105,66,396,6,4.641310375348098,10.182191961786174,-14.845087254281347,198.24216925966715
2,.21096957524617513333,6.94325903654098500000,.00482170766426457291,0.39967794580194493,-63.92696832,-23.119817728,179.75160211,1433.555163136,921.47949635315984384,98,784,8,16.00355955362320000000,.01111358302334944444,0.7997037935918858,7.4202757943615865,44.51936265130413,3.90540831282188763157,23.43124350068638421052,93,558,6,4.641260902416777,10.182424773002031,-14.867054468495688,198.2341862142607
3,.19027942021687825000,5.01928592920303333333,.00348561522861321759,0.39995856585787887,-63.820310528,-22.626685952,180.2515825,1433.735500800,922.34265044378649600,73,584,8,16.22072597344716333333,.01126439303711608564,0.7999327933516277,7.4200725148611975,44.600683956444456,3.90530132361115657894,23.47404418760234526315,97,582,6,4.642249750728274,10.182098162145175,-14.85188850277471,198.25040811937018
4,.18730754852294921666,5.25457191069920833333,.00364900827131889467,0.39944548846374317,-63.56644864,-22.99971584,180.25158568,1433.763147776,920.83257511756980224,81,648,8,17.74505439599355000000,.01232295444166218750,0.7995475583303062,7.4231231772632595,44.477916217359294,3.90690693540171552631,23.40942958808383894736,105,630,6,4.641024634738449,10.18581042668409,-14.851200640250559,198.252144905003
5,.21347462336222330000,5.58441715240478500000,.00387806746694776736,0.399894928754086,-63.776729088,-23.614077952,180.25139335,1434.020531200,922.05016356312524800,77,616,8,14.18680802981058833333,.00985195002070179745,0.799901687790461,7.420239819034234,44.57790375021701,3.90538937843907052631,23.46205460537737368421,77,462,6,4.64289140033223,10.181940481803009,-14.878719210849384,198.2280753961221
6,.19032965898513793333,5.00855788787206000000,.00347816519991115277,0.39983451897096806,-63.303773184,-22.932903936,179.75138011,1433.267856384,922.47329335908784128,73,584,8,14.19964691797892333333,.00986086591526314120,0.7998855967578256,7.42028067825587,44.59992004821615,3.90541088329256315789,23.47364213064007894736,86,516,6,4.641306313417985,10.182087617148596,-14.836910893237341,198.2530509624445
7,.22287415663401285000,7.25878130197525000000,.00504082034859392361,0.39992060360706394,-63.583258624,-22.96839168,180.25158436,1434.121780224,922.17997249247299584,103,824,8,14.74298919836680000000,.01023818694331027777,0.7999124681076166,7.420266772765653,44.60116025267521,3.90540356461350157894,23.47429486982905789473,85,510,6,4.642661568900778,10.182121331584248,-14.822555719668713,198.24148882519515
8,.20738710562388101666,9.09792254765828500000,.00631800176920714236,0.39971004678113836,-63.58726656,-22.73569792,180.25175673,1434.104328192,921.51971775736393728,130,1040,8,14.66290692090988166666,.01018257425063186226,0.7997396705171591,7.423095892449636,44.53796812696412,3.90689257497349263157,23.44103585629690526315,84,504,6,4.642769804146296,10.18564842764366,-14.830382059952425,198.26277376976284
9,.22546877066294351666,7.68974546194076500000,.00534010101523664236,0.39949780685358804,-63.894807552,-22.601957376,179.75144968,1434.69380608,920.3853013131498496,106,848,8,12.65227471192677833333,.00878630188328248495,0.7995185192487112,7.420244779367721,44.453979007595706,3.90539198914090578947,23.39683105662931894736,75,450,6,4.642453539840358,10.182766143531609,-14.85766880039012,198.21943955534283
10,.19592747688293456666,4.52544239362080900000,.00314266832890333958,0.39977296538866497,-63.484577792,-23.299416064,180.2517425,1434.808265728,921.47237850437373952,66,528,8,14.39529473384221333333,.00999673245405709259,0.7997507271586055,7.420095730140023,44.53917424891646,3.90531354217895947368,23.44167065732445263157,87,522,6,4.6442385938250705,10.18185216227056,-14.839188000768877,198.2167386509206
