,CT,Structure,Composition,mean,error
0,Theorical,Core,W,341.61,N/A
1,Experimental (corrected),,,295.49407958984375,46.115920410156264
2,Experimental,,,193.97438049316406,147.63561950683595
3,Simulation,,,176.08348083496094,165.52651916503908
4,Theorical,Fibre,SiC,2.736,N/A
5,Experimental (corrected),,,1.2493246793746948,1.4866753206253054
6,Experimental,,,3.1892850399017334,-0.4532850399017332
7,Simulation,,,2.287137985229492,0.448862014770508
8,Theorical,Matrix,Ti90Al6V4,13.1274,N/A
9,Experimental (corrected),,,15.08086109161377,-1.9534610916137698
10,Experimental,,,10.639872550964355,2.4875274490356443
11,Simulation,,,9.73626708984375,3.3911329101562497
